# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
MaterialEBOuterEE_scale       0.0010     0.0058     0.0035    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc wh
EBlowR9_7TeVscale             0.0002     0.0025     0.0006    
EBhighR9_7TeVscale            0.0002     0.0009     0.0005    
EElowR9_7TeVscale             0.0001     0.0009     0.0006    
EEhighR9_7TeVscale            0.0004     0.0039     0.0008    
EBlowR9_7TeVsmear             0.0000     0.0134     0.0004    
EBhighR9_7TeVsmear            0.0000     0.0190     0.0005    
EBlowR9Phi_7TeVsmear          0.0000     0.0065     0.0002    
EBhighR9Phi_7TeVsmear         0.0000     0.0022     0.0002    
EElowR9_7TeVsmear             0.0000     0.0060     0.0005    
EEhighR9_7TeVsmear            0.0000     0.0097     0.0002    
MaterialEBCentral_scale       0.0002     0.0020     0.0004    
MaterialEBOuterEE_scale       0.0011     0.0101     0.0002    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc zh
EBlowR9_7TeVscale             0.0002     0.0014     0.0008    
EBhighR9_7TeVscale            0.0002     0.0042     0.0005    
EElowR9_7TeVscale             0.0001     0.0028     0.0004    
EEhighR9_7TeVscale            0.0004     0.0054     0.0008    
EBlowR9_7TeVsmear             0.0000     0.0158     0.0007    
EBhighR9_7TeVsmear            0.0000     0.0148     0.0013    
EBlowR9Phi_7TeVsmear          0.0000     0.0052     0.0004    
EBhighR9Phi_7TeVsmear         0.0000     0.0032     0.0005    
EElowR9_7TeVsmear             0.0000     0.0021     0.0007    
EEhighR9_7TeVsmear            0.0000     0.0117     0.0009    
MaterialEBCentral_scale       0.0002     0.0021     0.0005    
MaterialEBOuterEE_scale       0.0011     0.0110     0.0020    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc tth
EBlowR9_7TeVscale             0.0002     0.0028     0.0018    
EBhighR9_7TeVscale            0.0003     0.0021     0.0009    
EElowR9_7TeVscale             0.0001     0.0045     0.0015    
EEhighR9_7TeVscale            0.0003     0.0054     0.0003    
EBlowR9_7TeVsmear             0.0000     0.0111     0.0028    
EBhighR9_7TeVsmear            0.0000     0.0177     0.0011    
EBlowR9Phi_7TeVsmear          0.0000     0.0008     0.0017    
EBhighR9Phi_7TeVsmear         0.0000     0.0061     0.0008    
EElowR9_7TeVsmear             0.0000     0.0063     0.0008    
EEhighR9_7TeVsmear            0.0000     0.0059     0.0019    
MaterialEBCentral_scale       0.0003     0.0031     0.0009    
MaterialEBOuterEE_scale       0.0008     0.0039     0.0016    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 3
proc ggh
EBlowR9_7TeVscale             0.0002     0.0013     0.0005    
EBhighR9_7TeVscale            0.0001     0.0014     0.0002    
EElowR9_7TeVscale             0.0003     0.0021     0.0003    
EEhighR9_7TeVscale            0.0006     0.0009     0.0003    
EBlowR9_7TeVsmear             0.0000     0.0063     0.0002    
EBhighR9_7TeVsmear            0.0000     0.0053     0.0004    
EBlowR9Phi_7TeVsmear          0.0000     0.0013     0.0002    
EBhighR9Phi_7TeVsmear         0.0000     0.0002     0.0001    
EElowR9_7TeVsmear             0.0000     0.0096     0.0001    
EEhighR9_7TeVsmear            0.0000     0.0121     0.0004    
MaterialEBCentral_scale       0.0002     0.0013     0.0001    
MaterialEBOuterEE_scale       0.0015     0.0025     0.0004    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc vbf
EBlowR9_7TeVscale             0.0003     0.0004     0.0008    
EBhighR9_7TeVscale            0.0001     0.0008     0.0003    
EElowR9_7TeVscale             0.0003     0.0026     0.0007    
EEhighR9_7TeVscale            0.0007     0.0038     0.0001    
EBlowR9_7TeVsmear             0.0000     0.0045     0.0002    
EBhighR9_7TeVsmear            0.0000     0.0044     0.0005    
EBlowR9Phi_7TeVsmear          0.0000     0.0028     0.0002    
EBhighR9Phi_7TeVsmear         0.0000     0.0005     0.0001    
EElowR9_7TeVsmear             0.0000     0.0088     0.0003    
EEhighR9_7TeVsmear            0.0000     0.0104     0.0005    
MaterialEBCentral_scale       0.0002     0.0003     0.0003    
MaterialEBOuterEE_scale       0.0015     0.0054     0.0020    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc wh
EBlowR9_7TeVscale             0.0002     0.0016     0.0004    
EBhighR9_7TeVscale            0.0001     0.0005     0.0001    
EElowR9_7TeVscale             0.0003     0.0049     0.0004    
EEhighR9_7TeVscale            0.0007     0.0026     0.0006    
EBlowR9_7TeVsmear             0.0000     0.0049     0.0003    
EBhighR9_7TeVsmear            0.0000     0.0034     0.0004    
EBlowR9Phi_7TeVsmear          0.0000     0.0013     0.0001    
EBhighR9Phi_7TeVsmear         0.0000     0.0003     0.0002    
EElowR9_7TeVsmear             0.0000     0.0095     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0154     0.0005    
MaterialEBCentral_scale       0.0001     0.0003     0.0002    
