# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EBlowR9_7TeVsmear             0.0000     0.0009     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0066     0.0003    
EBlowR9Phi_7TeVsmear          0.0000     0.0004     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0024     0.0003    
EElowR9_7TeVsmear             0.0000     0.0005     0.0002    
EEhighR9_7TeVsmear            0.0000     0.0306     0.0007    
MaterialEBCentral_scale       0.0001     0.0040     0.0006    
MaterialEBOuterEE_scale       0.0024     0.0082     0.0009    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc zh
EBlowR9_7TeVscale             0.0000     0.0000     0.0000    
EBhighR9_7TeVscale            0.0002     0.0019     0.0004    
EElowR9_7TeVscale             0.0000     0.0022     0.0000    
EEhighR9_7TeVscale            0.0016     0.0056     0.0022    
EBlowR9_7TeVsmear             0.0000     0.0000     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0066     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0030     0.0000    
EElowR9_7TeVsmear             0.0000     0.0014     0.0000    
EEhighR9_7TeVsmear            0.0001     0.0333     0.0016    
MaterialEBCentral_scale       0.0001     0.0006     0.0004    
MaterialEBOuterEE_scale       0.0024     0.0002     0.0016    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc tth
EBlowR9_7TeVscale             0.0000     0.0000     0.0000    
EBhighR9_7TeVscale            0.0002     0.0102     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0015     0.0154     0.0024    
EBlowR9_7TeVsmear             0.0000     0.0000     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0059     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0030     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0001     0.0387     0.0000    
MaterialEBCentral_scale       0.0002     0.0038     0.0000    
MaterialEBOuterEE_scale       0.0020     0.0237     0.0024    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 3
proc ggh
EBlowR9_7TeVscale             0.0002     0.0027     0.0003    
EBhighR9_7TeVscale            0.0001     0.0005     0.0008    
EElowR9_7TeVscale             0.0007     0.0058     0.0020    
EEhighR9_7TeVscale            0.0006     0.0056     0.0013    
EBlowR9_7TeVsmear             0.0000     0.0042     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0011     0.0008    
EBlowR9Phi_7TeVsmear          0.0000     0.0045     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0002     0.0000    
EElowR9_7TeVsmear             0.0000     0.0187     0.0011    
EEhighR9_7TeVsmear            0.0000     0.0073     0.0003    
MaterialEBCentral_scale       0.0001     0.0007     0.0004    
MaterialEBOuterEE_scale       0.0018     0.0121     0.0029    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc vbf
EBlowR9_7TeVscale             0.0002     0.0008     0.0002    
EBhighR9_7TeVscale            0.0001     0.0014     0.0005    
EElowR9_7TeVscale             0.0008     0.0042     0.0008    
EEhighR9_7TeVscale            0.0006     0.0022     0.0003    
EBlowR9_7TeVsmear             0.0000     0.0042     0.0001    
EBhighR9_7TeVsmear            0.0000     0.0029     0.0003    
EBlowR9Phi_7TeVsmear          0.0000     0.0025     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0008     0.0001    
EElowR9_7TeVsmear             0.0000     0.0199     0.0009    
EEhighR9_7TeVsmear            0.0000     0.0094     0.0004    
MaterialEBCentral_scale       0.0001     0.0010     0.0002    
MaterialEBOuterEE_scale       0.0017     0.0034     0.0011    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc wh
EBlowR9_7TeVscale             0.0002     0.0032     0.0003    
EBhighR9_7TeVscale            0.0001     0.0010     0.0002    
EElowR9_7TeVscale             0.0008     0.0012     0.0014    
EEhighR9_7TeVscale            0.0006     0.0049     0.0011    
EBlowR9_7TeVsmear             0.0000     0.0074     0.0003    
EBhighR9_7TeVsmear            0.0000     0.0032     0.0001    
EBlowR9Phi_7TeVsmear          0.0000     0.0042     0.0001    
EBhighR9Phi_7TeVsmear         0.0000     0.0006     0.0000    
EElowR9_7TeVsmear             0.0001     0.0243     0.0006    
EEhighR9_7TeVsmear            0.0000     0.0106     0.0008    
MaterialEBCentral_scale       0.0001     0.0027     0.0005    
MaterialEBOuterEE_scale       0.0018     0.0108     0.0030    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc zh
EBlowR9_7TeVscale             0.0002     0.0029     0.0003    
EBhighR9_7TeVscale            0.0001     0.0025     0.0000    
EElowR9_7TeVscale             0.0006     0.0012     0.0014    
EEhighR9_7TeVscale            0.0007     0.0072     0.0022    
EBlowR9_7TeVsmear             0.0000     0.0021     0.0006    
EBhighR9_7TeVsmear            0.0000     0.0025     0.0003    
EBlowR9Phi_7TeVsmear          0.0000     0.0048     0.0003    
EBhighR9Phi_7TeVsmear         0.0000     0.0013     0.0000    
EElowR9_7TeVsmear             0.0001     0.0303     0.0009    
EEhighR9_7TeVsmear            0.0000     0.0144     0.0003    
MaterialEBCentral_scale       0.0001     0.0017     0.0000    
MaterialEBOuterEE_scale       0.0018     0.0027     0.0029    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc tth
EBlowR9_7TeVscale             0.0002     0.0030     0.0000    
EBhighR9_7TeVscale            0.0001     0.0077     0.0000    
EElowR9_7TeVscale             0.0007     0.0124     0.0001    
EEhighR9_7TeVscale            0.0004     0.0155     0.0026    
EBlowR9_7TeVsmear             0.0000     0.0015     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0046     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0016     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0000     0.0000    
EElowR9_7TeVsmear             0.0000     0.0193     0.0028    
EEhighR9_7TeVsmear            0.0000     0.0116     0.0000    
MaterialEBCentral_scale       0.0001     0.0075     0.0000    
MaterialEBOuterEE_scale       0.0015     0.0259     0.0040    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 4
proc ggh
EBlowR9_7TeVscale             0.0000     0.0004     0.0000    
EBhighR9_7TeVscale            0.0005     0.0015     0.0001    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0014     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0501     0.0002    
EBlowR9Phi_7TeVsmear          0.0000     0.0006     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0113     0.0001    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0020     0.0000    
MaterialEBOuterEE_scale       0.0004     0.0026     0.0005    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc vbf
EBlowR9_7TeVscale             0.0000     0.0017     0.0000    
EBhighR9_7TeVscale            0.0005     0.0126     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0033     0.0000    
EBhighR9_7TeVsmear            0.0001     0.0570     0.0004    
EBlowR9Phi_7TeVsmear          0.0000     0.0008     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0116     0.0005    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0105     0.0004    
MaterialEBOuterEE_scale       0.0004     0.0025     0.0009    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc wh
EBlowR9_7TeVscale             0.0000     0.0010     0.0000    
EBhighR9_7TeVscale            0.0005     0.0023     0.0003    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0009     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0543     0.0022    
EBlowR9Phi_7TeVsmear          0.0000     0.0004     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0105     0.0009    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0043     0.0010    
MaterialEBOuterEE_scale       0.0004     0.0050     0.0003    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc zh
EBlowR9_7TeVscale             0.0000     0.0019     0.0000    
EBhighR9_7TeVscale            0.0005     0.0092     0.0000    
